Commodity,Geolocation,Annual 1994,Annual 1995,Annual 1996,Annual 1997,Annual 1998,Annual 1999,Annual 2000,Annual 2001,Annual 2002,Annual 2003,Annual 2004,Annual 2005,Annual 2006,Annual 2007,Annual 2008,Annual 2009,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018
Rice,PHILIPPINES,39.342135,44.685173,52.83796,52.600993,54.479801,55.766193,56.736628,57.492665,58.846761,59.563304,61.007673,65.098172,67.699165,69.939066,85.420898,92.11239,95.164748,99.148048,100,103.6,115,115.4,114.8,115.9,122.5
Rice,..National Capital Region (NCR),40.319865,47.710438,57.261504,58.013468,58.013468,58.232323,57.631874,57.126824,59.433221,60.129068,61.548822,65.392817,67.340067,69.854097,91.195286,95.3367,98.905724,101.548822,100,105.6,120.6,118.1,117.7,117.9,122.4
Rice,..Cordillera Administrative Region (CAR),45.660898,50.959368,59.675194,58.295711,60.59067,61.876097,61.706797,62.026586,63.387259,64.948583,66.898671,72.585904,75.244545,76.724354,85.440181,91.911211,96.181339,98.087534,100,101,106.7,109.2,110.4,112.9,116.8
Rice,....Abra,40.764719,44.898185,54.293935,53.214918,55.638557,57.055113,55.135015,54.1888,53.463922,54.34927,56.169765,64.497565,66.384462,65.714918,85.707171,99.103586,98.129703,98.046702,100,98.5,102.6,103.3,106.7,108.7,114.9
Rice,....Benguet,51.689797,55.107941,61.070419,60.929067,62.991519,64.764842,64.642765,65.645078,66.705217,67.244924,68.876895,73.959136,77.107427,79.131329,85.273709,92.360576,96.883834,99.685171,100,99.7,107.7,112.4,113.4,116.2,116.9
Rice,....Ifugao,41.070111,48.296433,55.885609,54.858549,56.070111,57.785978,58.708487,58.825338,61.568266,62.097171,64.120541,70.184502,73.813038,78.450185,81.857319,86.02706,90.553506,96.838868,100,101.2,100.4,98.4,93.9,96.2,101.8
Rice,....Kalinga,45.438815,52.51938,65.593854,62.036268,65.856866,65.406977,66.542082,65.621539,69.172204,71.103267,72.155316,78.765227,83.070321,83.783223,89.569491,94.400609,100.159192,96.864618,100,106.8,112.1,112.9,116.7,122.3,131
Rice,....Mt. Province,40.843838,47.665733,57.177871,55.246265,56.547619,58.724323,58.841036,61.338702,61.023576,61.350373,61.373716,65.762138,70.039683,71.101774,81.226657,87.756769,96.422736,100.496032,100,100.6,101.4,104.4,107.6,109.1,115
Rice,....Apayao,.,.,.,.,.,.,63.983168,63.07947,66.466611,77.462748,85.333885,87.85872,82.774558,82.505519,91.425221,87.237859,91.459713,91.508002,100,103.7,116.5,118.3,119.7,117.1,122.4
Rice,..Region I (Ilocos Region),41.085694,44.958848,52.965384,54.678044,56.003389,58.587509,59.259259,61.20794,62.212539,62.539337,63.459211,69.547325,72.633745,74.346405,90.438151,97.712418,98.372065,99.655047,100,103.2,116.5,116.1,112.9,114.9,126.4
