Geolocation,1991,1994,1997,2000,2003,2006,2009,2012,2015
PHILIPPINES,48.5,47.8,44.2,43.6,43.1,41.4,42.6,42.8,41.9
..NCR,41.5,40.3,35.8,35.8,37.8,35.9,36.2,36.5,36.3
..Cordillera Administrative Region (CAR),52.1,47.9,47.5,44.9,42.9,40.8,39,40.8,39.4
..Region I (Ilocos Region),50.6,52,48.6,48.3,48,44.7,46,45.3,44.4
..Region II (Cagayan Valley),50.9,51.3,51.2,51.8,46.6,44.3,44.6,49.4,46.9
..Region III (Central Luzon),49.7,50.2,49.3,47,45.2,40.9,43.6,43.7,42
..Southern Tagalog,48.8,47.2,44.8,43.4,.,.,.,.,..
..Region IV-A (CALABARZON),.,.,.,.,41.2,39.3,41.9,40.6,39.8
..MIMAROPA Region,.,.,.,.,44.8,44.6,45,46.4,44.4
..Region V (Bicol Region),53.6,52.5,50.3,49.5,45.4,45.2,47.4,49,48
..Region VI (Western Visayas),50.3,49.4,46.2,45.9,44.1,44.1,44.5,44.4,45.6
..Region VII (Central Visayas),52,53.1,49.7,48,45.4,44.8,45,44.5,44.3
..Region VIII (Eastern Visayas),55.5,58.5,52.8,48.7,46.4,43.2,45.5,45.8,44.9
..Region IX (Zamboanga Peninsula),.,.,.,.,46.5,45.9,46.5,49,48.2
..Region X (Northern Mindanao),52.2,52,44.1,47.2,44,43.2,44.7,43.8,40.6
..Region XI (Davao Region),.,.,.,.,45.5,45.6,46.2,47.6,43.6
..Region XII (SOCCSKSARGEN),.,.,.,.,48.2,48,45.8,48.2,44.7
..Region XIII (Caraga),.,.,48.1,49.6,47.4,45.6,46.8,47.5,45.3
..Autonomous Region in Muslim Mindanao (ARMM),.,.,55.9,57.1,53.5,53.9,56.4,59.8,59
